trade_id,direction,entry,sl,tp,risk_points,reward_points,rr,entry_bar,entry_bar_time,exit_bar,exit_bar_time,status,exit_reason,exit_price,pnl_points,pnl_dollars,structure_id
T0100,BUY,6804.75,6792.05,6817.45,12.7,12.7,1.0,6683,2025-10-09 03:45:00,6732,2025-10-09 16:00:00,SL_HIT,SL,6792.05,-12.7,-63.5,894f05b3-2970-42b8-98d2-fa6446583674
T0101,BUY,6795.75,6789.25,6802.25,6.5,6.5,1.0,6732,2025-10-09 16:00:00,6734,2025-10-09 16:30:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,fd7903f1-8f7b-41bf-be04-98beaa6308d4
T0102,BUY,6783.75,6780.75,6786.75,3.0,3.0,1.0,6737,2025-10-09 17:15:00,6738,2025-10-09 17:30:00,CANCELLED,BOS contradictorio,0.0,0.0,0.0,b5e55a19-d8ec-4ec9-86c1-ac1e82f06193
T0103,BUY,6795.25,6791.5,6799.0,3.75,3.75,1.0,6763,2025-10-10 00:45:00,6823,2025-10-10 15:45:00,EXPIRED,estructura no existe,0.0,0.0,0.0,bf8758e1-fe6b-4ba8-99fb-7cc7fa51de76
T0104,BUY,6795.75,6783.05,6808.45,12.7,12.7,1.0,6823,2025-10-10 15:45:00,6828,2025-10-10 17:00:00,SL_HIT,SL,6783.05,-12.7,-63.5,fd7903f1-8f7b-41bf-be04-98beaa6308d4
T0105,SELL,6666.25,6678.0,6654.5,11.75,11.75,1.0,6863,2025-10-13 02:45:00,6905,2025-10-13 13:15:00,EXPIRED,estructura no existe,0.0,0.0,0.0,cd88223e-f509-42e5-9921-74a8b288a913
T0106,SELL,6695.0,6708.5,6680.75,13.5,14.25,1.06,6928,2025-10-13 19:00:00,6954,2025-10-14 02:30:00,SL_HIT,SL,6708.5,-13.5,-67.5,990da045-8138-4ab6-999c-ae156628b174
T0107,SELL,6709.5,6719.0,6690.25,9.5,19.25,2.03,6955,2025-10-14 02:45:00,6969,2025-10-14 06:15:00,TP_HIT,TP,6690.25,19.25,96.25,377550ad-168e-4e73-8f0b-0036e1016ef1
T0108,SELL,6667.75,6682.0,6653.5,14.25,14.25,1.0,6972,2025-10-14 07:00:00,6975,2025-10-14 07:45:00,TP_HIT,TP,6653.5,14.25,71.25,afad0af0-6c53-4537-bd55-745ef0d945f9
T0109,SELL,6648.75,6659.2,6637.75,10.45,11.0,1.05,6978,2025-10-14 08:30:00,6981,2025-10-14 09:15:00,TP_HIT,TP,6637.75,11.0,55.0,49056775-53f3-4953-a185-f12db2c7b336
T0110,SELL,6623.0,6634.25,6611.75,11.25,11.25,1.0,6983,2025-10-14 09:45:00,6996,2025-10-14 13:00:00,TP_HIT,TP,6611.75,11.25,56.25,LG_5_20251014_094000_SellSide
T0111,SELL,6648.75,6657.25,6637.75,8.5,11.0,1.29,7011,2025-10-14 16:45:00,7209,2025-10-16 20:15:00,EXPIRED,estructura no existe,0.0,0.0,0.0,d0a899d6-1cac-4dba-9477-ef768a5f93b8
T0112,SELL,6628.75,6631.75,6625.0,3.0,3.75,1.25,7251,2025-10-17 07:45:00,7253,2025-10-17 08:15:00,SL_HIT,SL,6631.75,-3.0,-15.0,4398a9fc-8e90-4ad7-925a-6363dcd7722e
T0113,SELL,6604.75,6616.0,6586.75,11.25,18.0,1.6,7271,2025-10-17 12:45:00,7273,2025-10-17 13:15:00,SL_HIT,SL,6616.0,-11.25,-56.25,LG_5_20251017_123500_BuySide
T0114,BUY,6775.5,6762.05,6788.95,13.45,13.45,1.0,7412,2025-10-21 02:00:00,7468,2025-10-21 16:00:00,SL_HIT,SL,6762.05,-13.45,-67.25,e9831fd7-1eeb-43b5-a52a-f293f159eefe
T0115,BUY,6770.0,6758.8,6781.2,11.2,11.2,1.0,7499,2025-10-22 00:45:00,7521,2025-10-22 06:15:00,TP_HIT,TP,6781.2,11.2,56.0,82207b68-616c-4238-a377-8162ac6430a2
